T,player,seed,map_path,run_path,score,sec,returncode
4032,1,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=4032#player=1#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,-1,-1,1
4032,2,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=4032#player=2#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,5.346,0
4032,3,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=4032#player=3#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,1,5.324,0
4032,4,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=4032#player=4#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,5.335,0
4032,5,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=4032#player=5#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,5.605,0
4032,6,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=4032#player=6#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,5.329,0
4032,7,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=4032#player=7#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,5.85,0
4032,8,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=4032#player=8#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,1,5.664,0
4032,9,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=4032#player=9#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,1,5.498,0
4032,10,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=4032#player=10#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,5.63,0
7056,1,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=7056#player=1#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,-1,-1,1
7056,2,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=7056#player=2#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,1,6.824,0
7056,3,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=7056#player=3#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,1,6.903,0
7056,4,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=7056#player=4#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,6.858,0
7056,5,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=7056#player=5#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,1,7.215,0
7056,6,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=7056#player=6#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,6.905,0
